"LIBRARYREFERENCE","FOOTPRINT1","CATEGORY","COMMENT","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER 5","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","SUPPLIER PART NUMBER 5","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_FUSE","","","Part Number","*","*","","","","","","","","","","","xxA","*","F?","Description"
"0031.3558","Schurter 0031.3558","","0031.3558","Schurter Inc.","PTH","Newark","Avnet","Farnell","Digi-Key","","84K0233","0031.3558","1453524","486-1731-ND","","10A","*","F?","FUSE HLDR CARTRIDGE 250V 12A PCB"
"0218001.MXEP","FUSE GLASS 5X20MM PTH","","0218001.MXEP","Littelfuse Inc","PTH","Digi-Key","Farnell","Newark","","","F3610-ND","1421765","26K8055","","","1A","*","F?","FUSE GLASS 1A 250VAC 5X20MM"
"0603SFV500F/32-2","F0603","","0603SFV500F/32-2","Littelfuse Inc.","SMD","Digi-Key","","","","","0603SFV500F/32-2CT-ND","","","","","5A","*","F?","FUSE BOARD MOUNT 5A 32VDC 0603"
"0ZCF0185FF2C","F2920","","0ZCF0185FF2C","Bel Fuse Inc.","SMD","Digi-Key","","","","","507-1747-1-ND","","","","","1.85A","*","F?","PTC RESTTBLE 33V 1.85A CHIP 2920"
"0ZCH0020FF2E","F1210","","0ZCH0020FF2E","Bel Fuse Inc.","SMD","Mouser","Digi-Key","","","","530-0ZCH0020FF2E","507-1784-1-ND","","","","200mA","*","F?","PTC RESTTBLE 0.20A 30V CHIP 1210"
"0ZCJ0020FF2E","F1206","","0ZCJ0020FF2E","Bel Fuse Inc.","SMD","Avnet","Digi-Key","","","","0ZCJ0020FF2E","507-1797-1-ND","","","","0.2A","*","F?","PTC RESTTBLE 0.20A 30V CHIP 1206"
"1812L110/33MR","F1812","","1812L110/33MR","Littelfuse Inc","SMD","Mouser","Newark","Farnell","Digi-Key","","576-1812L110/33MR","05M2403","1822213","F3486CT-ND","","1.10A","*","F?","PTC RESETTABLE 33V 1.10A 1812L"
"1812L150/24MR","F1812","","1812L150/24MR","Littelfuse Inc","SMD","Newark","Digi-Key","Farnell","","","05M2407","F3487CT-ND","2411299","","","1.50A","*","F?","PTC RESETTABLE 24V 1.50A 1812L"
"F5461TB-ND","Fuse_PCB 50mA","FUSE","F5461TB-ND","Littelfuse Inc.","PTH","Mouser","Newark","Digi-Key","Mouser","Digi-Key","*","*","36912000000","","F5461CT-ND","2A","*","F?","FUSE BOARD MOUNT 2A 300VAC RAD"
"RGEF300-2","FUSISTOR","","RGEF300-2","TE Connectivity","PTH","Mouser","Newark","Digi-Key","Farnell","","650-RGEF300-2","76T4556","RGEF300-ND","2078392","","3A","*","F?","POLYSWITCH PTC RESET 3A HLD T/R"
"SSQ 2","F2410","","SSQ 2","Bel Fuse Inc.","SMD","Digi-Key","","","","","507-1048-1-ND","","","","","2A","*","F?","FUSE BOARD MNT 2A 125VAC/VDC SMD"
