"LIBRARYREFERENCE","FOOTPRINT1","CATEGORY","COMMENT","CURRENT","MANUFACTURER","MOUNT TYPE","SUPPLIER 1","SUPPLIER 2","SUPPLIER 3","SUPPLIER 4","SUPPLIER PART NUMBER 1","SUPPLIER PART NUMBER 2","SUPPLIER PART NUMBER 3","SUPPLIER PART NUMBER 4","VALUE","SHEETPART","DESIGNATOR","DESCRIPTION"
"*MODEL_DARL_NPN","","BJT NPN","Part Number","xxA","*","*","","","","","","","","","*","*","T?","Description"
"*MODEL_DARL_PNP","","BJT NPN","Part Number","xxA","*","*","","","","","","","","","*","*","T?","Description"
"*MODEL_FOTO_NPN","","BJT NPN","Part Number","xxA","*","*","","","","","","","","","*","*","T?","Description"
"*MODEL_NMOS","","NMOSFET","Part Number","xxA","*","*","","","","","","","","","*","*","T?","Description"
"*MODEL_NPN","","BJT NPN","Part Number","xxA","*","*","","","","","","","","","*","*","T?","Description"
"*MODEL_PMOS","","PMOSFET","Part Number","xxA","*","*","","","","","","","","","*","*","T?","Description"
"*MODEL_PNP","","BJT PNP","Part Number","xxA","*","*","","","","","","","","","*","*","T?","Description"
"2N7002LT1G","SOT-23","NMOSFET","2N7002LT1G","115mA","ON Semiconductor","SMD","Farnell","Newark","Digi-Key","Mouser","1764537","62M2216","2N7002LT1GOSCT-ND","863-2N7002LT1G","2N7002LT1G","*","T?","MOSFET N-CH 60V 115MA SOT-23"
"AON7242","DFN 3.3x3.3","NMOSFET","AON7242","50A","Alpha & Omega Semiconductor Inc","SMD","Digi-Key","","","","785-1378-1-ND","","","","AON7242","*","T?","MOS N CH 40V 50A DFN3.3X3.3EP"
"BC32725TA","TO-92","BJT PNP","BC32725TA","800mA","Fairchild/ON Semiconductor","PTH","Digi-Key","Farnell","Newark","","BC32725TACT-ND","1853514","82C0340","","BC32725TA","*","T?","TRANS PNP 45V 0.8A TO-92"
"BC33725TA","TO-92","BJT NPN","BC33725TA","800mA","Fairchild/ON Semiconductor","PTH","Newark","Digi-Key","Farnell","","82C0365","BC33725TACT-ND","1695754","","BC33725TA","*","T?","TRANS NPN 45V 0.8A TO-92"
"BC548CTA","TO-92","BJT NPN","BC548CTA","100mA","Fairchild Semiconductor","PTH","Mouser","Farnell","Digi-Key","Newark","512-BC548BU","2453795","BC548CTAFSCT-ND","31Y0484","BC548CTA","*","T?","TRANS NPN 30V 0.1A TO-92"
"BC817-25LT3G","SOT-23","BJT NPN","BC817-25LT3G","500mA","ON Semiconductor","SMD","Mouser","Allied","Digi-Key","","863-BC817-25LT3G","R1106974","BC817-25LT1GOSCT-ND","","BC817-25LT3G","*","T?","TRANSISTOR NPN 45V 500MA SOT-23"
"BC848A-TP","SOT-23","BJT NPN","BC848A-TP","100mA","Micro Commercial Co","SMD","Farnell","Newark","Mouser","Digi-Key","1924326","51T4870","833-BC848A-TP","BC848A-TPMSCT-ND","BC848","*","T?","TRANSISTOR NPN 100MA 30V SOT-23"
"BSS127SSN-7","SOT-23","NMOSFET","BSS127SSN-7","50mA","Diodes Incorporated","SMD","Digi-Key","","","","BSS127SSN-7DICT-ND","","","","BSS127SSN-7","*","T?","MOSFET N-CH 600V 50MA SC59"
"DMG3420U-7","SOT-23","NMOSFET","DMG3420U-7","5.47A","Diodes Incorporated","SMD","Mouser","Digi-Key","","","621-DMG3420U-7","DMG3420U-7DICT-ND","","","DMG3420U-7","*","T?","MOSFET N-CH 20V 5.47A SOT23"
"DMP510DL-7","SOT-23","PMOSFET","DMP510DL-7","180mA","Diodes Incorporated","SMD","Digi-Key","","","","DMP510DL-7DICT-ND","","","","DMP510DL-7","*","T?","MOSFET P-CH 50V 0.18A SOT23"
"FDC638APZ","SuperSOT-6","PMOSFET","FDC638APZ","4.5A","Fairchild Semiconductor","SMD","Newark","Mouser","Farnell","Digi-Key","67P3457","512-FDC638APZ","1495226","FDC638APZCT-ND","FDC638APZ","*","T?","MOSFET P-CH 20V 4.5A SSOT-6"
"FDS6990AS","SOIC-8 TPAD","NMOSFET","FDS6990AS","Q","Fairchild/ON Semiconductor","SMD","Arrow","Newark","Farnell","Digi-Key","qTLpSCXdZHN7V2ngIzusAGvvR7TIo7F-Wjk7_Cu4dcQ","15R3435","1504994","FDS6990ASCT-ND","FDS6990","*","T?","MOSFET 2N-CH 30V 7.5A 8SOIC"
"FQD5P20TM","DPAK  369C-01","PMOSFET","FQD5P20TM","3.7A","Fairchild Semiconductor","SMD","Digi-Key","","","","FQD5P20TMCT-ND","","","","FQD5P20TM","*","T?","MOSFET P-CH 200V 3.7A DPAK"
"IRF640NSTRLPBF","D2PAK","NMOSFET","IRF640NSTRLPBF","18A","International Rectifier","SMD","Digi-Key","Farnell","Newark","Mouser","IRF640NSTRLPBFCT-ND","8648387","63J7352","942-IRF640NSTRLPBF","IRF640NSTRLPBF","*","T?","MOSFET N-CH 200V 18A D2PAK"
"PMBT3906,215","SOT-23","BJT PNP","PMBT3906,215","200mA","NXP Semiconductors","SMD","Digi-Key","","","","568-1742-1-ND","","","","PMBT3906,215","*","T?","TRANS PNP SW 200MA 40V SOT23"
"SI2301BDS-T1-E3","SOT-23","PMOSFET","SI2301BDS-T1-E3","2.2A","Vishay Siliconix","SMD","Mouser","Newark","Digi-Key","Farnell","781-SI2301BDS-E3","06J7561","SI2301BDS-T1-E3CT-ND","1470099","SI2301BDS-T1-E3","*","T?","MOSFET P-CH 20V 2.2A SOT23-3"
"SI3429EDV-T1-GE3","TSOP-6","PMOSFET","SI3429EDV-T1-GE3","8A","Vishay Siliconix","SMD","Digi-Key","Arrow","","","SI3429EDV-T1-GE3CT-ND","LRDcf5UPiDKjPO9vpQRjMFkKAmI7szXw2TKOw99IJjYZVywxIBNyoAQstvnyfZZ0","","","SI3429EDV-T1-GE3","*","T?","MOSFET P-CHAN 20V TSOP6S"
"SI7465DP-T1-E3","PPAK SO-8","PMOSFET","SI7465DP-T1-E3","3.2A","Vishay Siliconix","SMD","Digi-Key","Farnell","Mouser","Newark","SI7465DP-T1-E3CT-ND","1684077","781-SI7465DP-T1-E3","51K6994","SI7465DP-T1-E3","*","T?","MOSFET P-CH 60V 3.2A PPAK SO-8"
"ZXM61N02FTA","SOT-23","NMOSFET","ZXM61N02FTA","1.7A","Diodes Incorporated","SMD","Mouser","Newark","Digi-Key","Farnell","522-ZXM61N02FTA","98K4137","ZXM61N02FCT-ND","9525270","ZXM61N02FTA","*","T?","MOSFET N-CH 20V 1.7A SOT23-3"
